"gr_id","flag_id","fleet_id","yy","mm","mondate","dup_pac","ocean_id","vessel","alb_c","bet_c","skj_c","yft_c","pbf_c","oth_c","bum_c","blm_c","mls_c","swo_c","sfa_c","fal_c","ocs_c","mak_c","bsh_c","thr_c","por_c","ham_c","rhn_c","skj_lo","yft_lo","bet_lo","skj_hi","yft_hi","bet_hi","skj_un","yft_un","bet_un"
"S","JP","CS",1959,1,1959-01-01,FALSE,"WX",0,0,36,16941,4316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16941,4316,36,16941,4316,36
"L","JP","CS",1960,1,1960-01-01,FALSE,"WX",843,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1960,1,1960-01-01,FALSE,"WX",1842,30762,41530,0,51841,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1960,1,1960-01-01,FALSE,"WX",3,610,50,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1960,1,1960-01-01,FALSE,"WX",0,11,1320,0,2704,0,0,948,1332,398,520,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1960,1,1960-01-01,FALSE,"WX",38,4,567,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1960,1,1960-01-01,FALSE,"WX",0,0,0,5657,1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1960,1,1960-01-01,FALSE,"WX",0,76,0,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1960,1,1960-01-01,FALSE,"WX",0,0,0,4640,2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1960,1,1960-01-01,FALSE,"WX",4705,25156,1500,70428,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1960,1,1960-01-01,FALSE,"WX",0,0,58,3728,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3728,1438,58,3728,1438,58
"L","JP","CS",1961,1,1961-01-01,FALSE,"WX",694,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1961,1,1961-01-01,FALSE,"WX",1935,32264,35657,0,49618,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1961,1,1961-01-01,FALSE,"WX",2,330,9,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1961,1,1961-01-01,FALSE,"WX",0,48,1382,0,3055,0,0,703,1175,306,318,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1961,1,1961-01-01,FALSE,"WX",36,5,469,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1961,1,1961-01-01,FALSE,"WX",0,0,0,6104,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1961,1,1961-01-01,FALSE,"WX",0,268,0,4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1961,1,1961-01-01,FALSE,"WX",0,0,0,4884,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1961,1,1961-01-01,FALSE,"WX",5046,18639,1800,127011,3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","CS",1961,1,1961-01-01,FALSE,"WX",477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1961,1,1961-01-01,FALSE,"WX",0,7,63,11693,2777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11693,2777,63,11693,2777,63
"L","JP","CS",1962,1,1962-01-01,FALSE,"WX",660,0,0,0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1962,1,1962-01-01,FALSE,"WX",1843,36637,33632,0,52088,0,0,13569,978,14875,9860,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1962,1,1962-01-01,FALSE,"WX",5,635,26,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1962,1,1962-01-01,FALSE,"WX",0,79,1689,0,3011,0,0,628,1113,332,494,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1962,1,1962-01-01,FALSE,"WX",35,7,548,4,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1962,1,1962-01-01,FALSE,"WX",0,0,0,6586,2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1962,1,1962-01-01,FALSE,"WX",0,191,0,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1962,1,1962-01-01,FALSE,"WX",0,0,0,5142,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1962,1,1962-01-01,FALSE,"WX",4009,8729,800,152387,4225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","CS",1962,1,1962-01-01,FALSE,"WX",451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1962,1,1962-01-01,FALSE,"WX",0,53,173,11674,6975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11674,6975,173,11674,6975,173
"L","JP","CS",1963,1,1963-01-01,FALSE,"WX",774,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1963,1,1963-01-01,FALSE,"WX",1901,24902,40061,0,49887,0,0,10892,838,11824,9398,1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1963,1,1963-01-01,FALSE,"WX",10,1461,242,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1963,1,1963-01-01,FALSE,"WX",0,608,1813,0,2661,0,0,691,1262,560,343,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1963,1,1963-01-01,FALSE,"WX",32,7,424,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1963,1,1963-01-01,FALSE,"WX",0,0,0,7106,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1963,1,1963-01-01,FALSE,"WX",0,218,0,2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1963,1,1963-01-01,FALSE,"WX",0,0,0,5413,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1963,1,1963-01-01,FALSE,"WX",6041,26420,1800,94757,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","CS",1963,1,1963-01-01,FALSE,"WX",492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
